sample_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous,cin_prop,cry_prop,plu_prop,expected_innoc_prop,unexpected_innoc_prop,expected_innoc,only_expected_innoc,valid_inoc
S146,2,C08,Cin,FALSE,100,2,Sample,FALSE,0.8700378466791627,0,0,0.8700378466791627,0,TRUE,TRUE,TRUE
S147,2,D08,Cry,FALSE,100,2,Sample,FALSE,0.001031221,0.003915649,0,0.003915649,0.001031221,TRUE,FALSE,FALSE
S148,2,E08,Cry,FALSE,1,2,Sample,FALSE,4.104222374230458e-4,0,0,0,4.104222374230458e-4,FALSE,FALSE,FALSE
S149,2,F08,Plu,FALSE,100,2,Sample,FALSE,3.392653363353175e-4,0,0,0,3.392653363353175e-4,FALSE,FALSE,FALSE
S150,2,G08,Control,TRUE,0,2,Sample,FALSE,0,0.00970987,0,NA,0.00970987,FALSE,FALSE,FALSE
S151,2,H08,Cin,TRUE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S152,2,A09,Cry,TRUE,1,2,Sample,FALSE,9.086107908889053e-5,0.1693820878740211,0,0.1693820878740211,9.086107908889053e-5,TRUE,FALSE,TRUE
S153,2,B09,Plu,TRUE,1,2,Sample,FALSE,0.002340831,0,0,0,0.002340831,FALSE,FALSE,FALSE
S154,2,C09,Cin,FALSE,100,2,Sample,FALSE,0.7244171311967923,0,0,0.7244171311967923,0,TRUE,TRUE,TRUE
S156,2,D09,Cin,FALSE,1,2,Sample,FALSE,0.3705114933668113,0,0,0.3705114933668113,0,TRUE,TRUE,TRUE
S157,2,E09,Cry,FALSE,1,2,Sample,FALSE,4.932301740812379e-4,0,0,0,4.932301740812379e-4,FALSE,FALSE,FALSE
S158,2,F09,Cry,TRUE,1,2,Sample,FALSE,5.870377078051035e-4,0,0,0,5.870377078051035e-4,FALSE,FALSE,FALSE
S159,2,H09,Plu,FALSE,100,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S160,2,A10,Control,FALSE,0,2,Sample,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
S161,2,B10,Cry,FALSE,100,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
S162,2,C10,Cin,FALSE,1,2,Sample,FALSE,0.2646242004599319,0,0,0.2646242004599319,0,TRUE,TRUE,TRUE
S163,2,D10,Plu,TRUE,100,2,Sample,FALSE,4.588339881276706e-4,0.038771472,0.00199306,0.00199306,0.039230306,TRUE,FALSE,FALSE
S164,2,E10,Plu,TRUE,1,2,Sample,FALSE,9.628711065723248e-4,0,0,0,9.628711065723248e-4,FALSE,FALSE,FALSE
