Species,Number of sequences
Allelochaeta_eucalypti,1
Allelochaeta_kriegeriana,1
Allelochaeta_paraelegans,1
Allelochaeta_polycarpae,1
Allelochaeta_samuelii,1
Allelochaeta_sp,1
Allelochaeta_sparsifoliae,1
Alloarthopyrenia_italica,1
Alloascoidea_africana,1
Alloascoidea_hylecoeti,1
Allobotryotrichum_blastosporum,1
Allocalicium_adaequatum,1
Allocanariomyces_tritici,1
Allocetraria_endochrysea,1
Allocetraria_flavonigrescens,2
Allocetraria_madreporiformis,1
Allocetraria_sinensis,1
Allocetraria_sp,1
Allocetraria_stracheyi,2
Alloclavaria_purpurea,1
Alloclavaria_sp,1
Alloconiothyrium_aptrootii,1
Alloconiothyrium_encephalarti,1
Alloconiothyrium_sp,3
Allocryptovalsa_polyspora,1
Allocryptovalsa_sichuanensis,1
Allocryptovalsa_xishuangbanica,1
Allocucurbitaria_botulispora,1
Allocucurbitaria_prunicola,1
Allodekkera_sacchari,1
Allodiatrype_arengae,1
Allodiatrype_thailandica,1
Alloexidiopsis_yunnanensis,1
Alloleptosphaeria_clematidis,1
Alloleptosphaeria_iridicola,1
Alloleptosphaeria_shangrilana,1
Allomyces_arbusculus,3
Allomyces_sp,13
Alloneottiosporina_thailandica,1
Allophaeosphaeria_sp,2
Allophoma_cylindrispora,1
Allophoma_minor,1
Allophoma_piperis,1
Allophoma_sp,2
Allophoma_tropica,1
Allophylaria_sp,1
Allophylaria_subliciformis,1
Allopsalliota_geesterani,1
Alnecium_auctum,1
Alnicola_cholea,1
Alnicola_macrospora,1
Alnicola_pallidifolia,1
Alnicola_sp,14
Alnicola_spectabilis,1
Alnicola_sphagneti,1
Alogomyces_tanneri,1
Alpakesa_nolinae,1
Alpakesa_uniseptata,1
Alpestrisphaeria_monodictyoides,1
Alphamyces_chaetifer,3
Alphamycetaceae_sp,17
Alpinaria_rhododendri,2
Alpinaria_sp,2
Alpova_alpestris,1
Alpova_cinnamomeus,1
Alpova_concolor,1
Alpova_corsicus,1
Alpova_diplophloeus,1
Alpova_komovianus,1
Alpova_sp,5
Alternaria_altcampina,1
Alternaria_alternata,7
Alternaria_angustiovoidea,1
