Genus,Species,Number of sequences
Pythium,Pythium_ornamentatum,2
Pythium,Pythium_orthogonon,1
Pythium,Pythium_pachycaule,2
Pythium,Pythium_paddicum,2
Pythium,Pythium_paroecandrum,1
Pythium,Pythium_parvum,2
Pythium,Pythium_pectinolyticum,1
Pythium,Pythium_periilum,2
Pythium,Pythium_periplocum,1
Pythium,Pythium_perplexum,2
Pythium,Pythium_phragmiticola,2
Pythium,Pythium_phragmitis,2
Pythium,Pythium_pleroticum,2
Pythium,Pythium_plurisporium,1
Pythium,Pythium_porphyrae,1
Pythium,Pythium_prolatum,2
Pythium,Pythium_pyrilobum,2
Pythium,Pythium_radiosum,2
Pythium,Pythium_recalcitrans,1
Pythium,Pythium_rhizo-oryzae,2
Pythium,Pythium_rhizosaccharum,2
Pythium,Pythium_rhizoterrae,1
Pythium,Pythium_rishiriense,2
Pythium,Pythium_rostratifingens,2
Pythium,Pythium_salpingophorum,1
Pythium,Pythium_schmitthenneri,1
Pythium,Pythium_scleroteichum,2
Pythium,Pythium_segnitium,2
Pythium,Pythium_selbyi,2
Pythium,Pythium_senticosum,2
Pythium,Pythium_solare,1
Pythium,Pythium_spiculum,1
Pythium,Pythium_spinosum,3
Pythium,Pythium_splendens,1
Pythium,Pythium_sukuiense,2
Pythium,Pythium_sylvaticum,2
Pythium,Pythium_takayamanum,1
Pythium,Pythium_tardicrescens,1
Pythium,Pythium_terrestris,2
Pythium,Pythium_torulosum,1
Pythium,Pythium_tracheiphilum,2
Pythium,Pythium_ultimum,2
Pythium,Pythium_ultimum_var.sporangiiferum,2
Pythium,Pythium_uncinulatum,1
Pythium,Pythium_undulatum,3
Pythium,Pythium_utonaiense,2
Pythium,Pythium_vanterpoolii,2
Pythium,Pythium_viniferum,1
Pythium,Pythium_violae,2
Pythium,Pythium_volutum,2
Salisapilia,Salisapilia_nakagirii,1
Salisapilia,Salisapilia_sapeloensis,1
Salisapilia,Salisapilia_sp.,1
Salisapilia,Salisapilia_tartarea,1
Saprolegnia,Saprolegnia_diclina,1
Saprolegnia,Saprolegnia_ferax,1
Saprolegnia,Saprolegnia_parasitica,1
Sclerospora,Sclerospora_graminicola,2
Thraustotheca,Thraustotheca_clavata,1
,,1277
