Genus,Number of sequences
Chrysofolia,1
Chrysomorbus,1
Chrysomphalina,4
Chrysomycena,1
Chrysomyxa,18
Chrysoporthe,2
Chrysosphaeria,1
Chrysosporium,44
Chrysothrix,1
Chrysozyma,13
Chrysozymaceae_gen_Incertae_sedis,13
Chuppomyces,1
Chytridiaceae_gen_Incertae_sedis,8
Chytridiales_gen_Incertae_sedis,257
Chytridiomycetes_gen_Incertae_sedis,18
Chytridiomycota_gen_Incertae_sedis,1496
Chytridium,1
Chytriomyces,4
Chytriomycetaceae_gen_Incertae_sedis,3
Cibaomyces,1
Ciboria,15
Ciborinia,9
Ciferriascosea,2
Ciliochorella,3
Ciliolarina,2
Ciliophora,3
Ciliosporella,1
Cinereomyces,2
Cintractia,4
Cintractiella,1
Cippumomyces,1
Circinaria,37
Circinella,14
Circinotrichum,19
Cirrenalia,2
Cistella,150
Citeromyces,2
Cladia,20
Cladobotryum,20
Cladochasiella,1
Cladochytriales_gen_Incertae_sedis,43
Cladochytrium,2
Cladocillium,2
Cladonia,205
Cladoniaceae_gen_Incertae_sedis,1
Cladophialophora,1893
Cladoriella,7
Cladoriellaceae_gen_Incertae_sedis,1
Cladorrhinum,38
Cladosporiaceae_gen_Incertae_sedis,6
Cladosporium,36
Clarireedia,4
Clarkeinda,1
Claroideoglomeraceae_gen_Incertae_sedis,9
Claroideoglomus,74
Classicula,1
Classiculales_gen_Incertae_sedis,3
Clathraceae_gen_Incertae_sedis,3
Clathrosphaerina,12
Clathrospora,2
Clathrosporium,5
Clathrus,13
Claudopus,4
Claussenomyces,38
Clavaria,325
Clavariaceae_gen_Incertae_sedis,582
Clavariadelphaceae_gen_Incertae_sedis,6
Clavariadelphus,33
Clavascidium,2
Clavatospora,1
Claviceps,29
Clavicipitaceae_gen_Incertae_sedis,67
Clavidisculum,6
Claviradulomyces,1
Clavispora,33
Clavogaster,1
Clavulicium,1
Clavulina,332
Clavulinaceae_gen_Incertae_sedis,176
Clavulinopsis,474
Cleistocybe,2
Cleistothelebolus,1
Clematidis,1
Climacocystis,1
Climacodon,2
Clinoconidium,2
Cliomegalaria,1
Cliostomum,2
Clitocella,7
Clitocybe,76
Clitocybula,20
Clitolyophyllum,1
Clitopaxillus,3
Clitopilopsis,2
Clitopilus,252
Clohesyomyces,3
Clonostachys,52
Clydaea,2
Clypeoloculus,5
Clypeophysalospora,1
Clypeosphaerella,2
Clypeosphaeria,11
Clypeosphaeriaceae_gen_Incertae_sedis,3
Coccidioides,2
Coccinonectria,3
Coccocarpia,20
Coccodiniaceae_gen_Incertae_sedis,1
Coccomyces,33
Coccotrema,2
Cochlearomyces,1
Cochlearomycetaceae_gen_Incertae_sedis,3
Cochliobolus,3
Cocoonihabitus,1
Codinaea,23
Codinaeella,4
Coelodictyosporium,1
Coelopogon,2
Coemansia,16
Coenogonium,1
Cokeromyces,2
Colacogloea,22
Colacogloeaceae_gen_Incertae_sedis,6
Coleodictyospora,2
Coleophoma,28
Coleopuccinia,1
Coleosporiaceae_gen_Incertae_sedis,1
Coleosporium,10
Coleroa,1
Colispora,1
Collapsimycopappus,1
Collariella,4
Collarina,2
Collema,2
Collemataceae_gen_Incertae_sedis,2
Collembolispora,3
Colletogloeum,1
Colletotrichum,224
Collimyces,1
Collodiscula,3
Collophora,6
Collophorina,6
Collybia,4
Collybiopsis,16
Colospora,1
Colpoma,8
Coltricia,78
Coltriciella,34
Combea,2
Commelinaceomyces,1
Comminutispora,1
Comoclathris,18
Condenascus,1
Conferticium,3
Confertobasidium,2
Conicomyces,1
Conidiobolus,21
Conidiocarpus,1
Conidiosporomyces,1
Coniella,51
Coniferiporia,2
Coniocarpon,3
Coniocessia,14
Coniocessiaceae_gen_Incertae_sedis,1
Coniochaeta,193
Coniochaetaceae_gen_Incertae_sedis,37
Coniochaetales_gen_Incertae_sedis,98
Coniolariella,2
Coniolepiota,1
Coniophora,30
Coniophoraceae_gen_Incertae_sedis,10
Coniophoropsis,1
Conioscypha,23
Conioscyphaceae_gen_Incertae_sedis,13
