Genus,Number of sequences
DEV114,29
Devosia,386
Devriesea,3
dgA-11_gut_group,45
Dialister,411
Diaminobutyricibacter,1
Diaminobutyricimonas,7
Diaphorobacter,192
Dichelobacter,8
Dichotomicrobium,57
Dickeya,188
Dictyoglomus,10
Dielma,26
Dietzia,130
Dinghuibacter,57
Dinoroseobacter,19
Diplorickettsia,7
Diplosphaera,14
Dissulfuribacter,3
Dissulfurimicrobium,12
Dissulfurirhabdus,2
DMER64,152
DMI,4
DNF00809,14
Dokdonella,96
Dokdonia,56
Dolichospermum_NIES41,52
Dolosicoccus,2
Dolosigranulum,125
Domibacillus,42
Donghicola,20
Dongia,134
Dorea,410
Draconibacterium,55
DS001,2
Dsc1,2
DSSD61,9
DSSF69,14
DTU089,10
Dubosiella,73
Duganella,101
Dyadobacter,136
Dyella,105
Dysgonomonas,159
E-plasma,10
E1B-B3-114,2
EBM-39,9
EcFYyy-200,6
Echinicola,21
Ectothiorhodosinus,1
Ectothiorhodospira,21
Edaphobacter,52
Edaphobaculum,189
Edwardsiella,171
Effusibacillus,23
Eggerthella,36
Eggerthia,10
Egibacter,4
Egicoccus,8
Ehrlichia,35
Eikenella,23
Eilatimonas,2
Eionea,4
Eisenbergiella,74
Eisenibacter,7
Ekhidna,34
Elioraea,6
Elizabethkingia,166
Ellin516,24
Ellin517,34
Ellin6055,92
Ellin6067,252
Elstera,6
Elusimicrobium,17
Emcibacter,3
EMP-G18,4
Empedobacter,27
Emticicia,32
Endobacter,13
Endomicrobium,158
endosymbionts,203
Endothiovibrio,3
Endozoicomonas,326
Enhydrobacter,150
Enhygromyxa,7
Enorma,9
Ensifer,482
Enteractinococcus,17
