"","taxon_id","treatment_1","treatment_2","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"776","bdw","TRUE","FALSE",0.23873620923945,1.44414965083862,2.18490223592479,0.660967629165961,0.508633073329331,NA
"777","bdx","TRUE","FALSE",0.0892235795257527,0.309473725727733,2.90380474273253,0.106575253209523,0.915125951824722,NA
"778","bdy","TRUE","FALSE",0.847599668030783,-1.85735566701511,1.51964513486583,-1.22222986432888,0.221620713305459,0.59270655884018
"779","bdz","TRUE","FALSE",0.0959517598991868,1.24555396294115,2.90336000065189,0.429004313161814,0.667920085833482,NA
"780","bea","TRUE","FALSE",0.0110557935285478,0.642314894885994,2.90381938296153,0.221196572574329,0.824939377858243,NA
"781","beb","TRUE","FALSE",0.093242659745099,1.19571605722606,2.90342562171612,0.411829408779314,0.680464464264098,NA
"782","bec","TRUE","FALSE",0.0227961262109502,0.199953603246332,2.90378108582788,0.0688597374720222,0.94510126725355,NA
"783","bed","TRUE","FALSE",0,0,0,0,1,NA
"784","bee","TRUE","FALSE",11.2420108480788,0.148215872351025,0.656530250067888,0.225756349133493,0.821390928944965,0.975826000296188
"785","bef","TRUE","FALSE",0.0212326864225926,0.418723143086423,2.90382861401799,0.144196920253858,0.885344972812503,NA
"786","beg","TRUE","FALSE",0.0188283374146053,0.754721228430163,2.90378553912166,0.259909424529489,0.794933641324325,NA
"787","beh","TRUE","FALSE",0.0730492306909584,-0.248273472530509,2.90345334143895,-0.0855097166491626,0.931856170997183,NA
"788","bei","TRUE","FALSE",0.00598191846055739,0.421302574640282,2.90382904848612,0.145085184976686,0.884643615196635,NA
"789","bej","TRUE","FALSE",0.00848949047020223,0.603788888036354,2.90382882047075,0.207928540339534,0.835284764190293,NA
"790","bek","TRUE","FALSE",2.73379188817466,0.415834962370789,1.14066344399358,0.364555351151527,0.715443348868503,0.930723813573279
"791","bel","TRUE","FALSE",2.3701447280706,2.84129748852263,2.05349232637405,1.38364163918725,0.166468211752755,0.528835479325051
"792","bem","TRUE","FALSE",0.00816604015510068,0.418723143086423,2.90382861401799,0.144196920253858,0.885344972812503,NA
"793","ben","TRUE","FALSE",0.303775511689314,-0.144717005948918,2.90211409038634,-0.049866063649363,0.960229120927895,NA
"794","beo","TRUE","FALSE",32.4407763298076,0.0220263670446388,1.20175672486739,0.0183284741319582,0.985376812206756,0.997129227227132
"795","bep","TRUE","FALSE",0.0383608023821993,0.272967438984049,2.90379666042103,0.0940036341747399,0.925106269868374,NA
"796","beq","TRUE","FALSE",10.4004196259591,-0.59124448062516,0.802773303532325,-0.736502419828355,0.461424995473788,0.816367299684395
"797","ber","TRUE","FALSE",6.59226388532042,-23.9607549662167,2.89568247707431,-8.27464860388485,1.28835000377306e-16,2.46933750723169e-14
"798","bes","TRUE","FALSE",13.9565675274913,0.0151145649064792,0.618296799889306,0.0244454846106032,0.980497267679912,0.997129227227132
"799","bet","TRUE","FALSE",58.7671735493106,-0.135020238632476,0.328996240158823,-0.410400552198696,0.681512141275874,0.911324374961925
"800","beu","TRUE","FALSE",0.112716022284251,0.356106670518812,2.90371779067134,0.122638181872516,0.902393617884321,NA
"801","bev","TRUE","FALSE",0.18857646685579,0.111873787057895,2.15293106065301,0.0519634785815956,0.958557793948457,NA
"802","bew","TRUE","FALSE",0.178591781917109,-0.568215513679713,2.64651185026846,-0.214703559185678,0.829998447464416,NA
"803","bex","TRUE","FALSE",91.771702932252,-0.562381518586793,0.276460445045182,-2.03422055004969,0.0419293634899963,0.238706772344039
"804","bey","TRUE","FALSE",0,NA,NA,NA,NA,NA
"805","bez","TRUE","FALSE",0.186700549170204,-0.093848826164597,1.95731547303649,-0.0479477260857722,0.961757903189236,NA
"806","bfa","TRUE","FALSE",0.054864841916131,1.08416749396867,2.90354444482286,0.373394488898487,0.708854860620545,NA
"807","bfb","TRUE","FALSE",0.0182377488213296,0.603788888220051,2.90382882047071,0.207928540402797,0.835284764140895,NA
"808","bfc","TRUE","FALSE",0.00506580582465561,0.454777212712963,2.90383475649787,0.156612634963238,0.875550144171499,NA
"809","bfd","TRUE","FALSE",0.00759870873698341,0.418723143086423,2.90382861401799,0.144196920253858,0.885344972812503,NA
"810","bfe","TRUE","FALSE",40007.1850505629,1.55210499357754,0.244276372379567,6.35388915619645,2.09938137721001e-10,9.28572532227503e-09
"811","bff","TRUE","FALSE",0.517099452063272,-1.90731795904981,2.50596641592926,-0.761110742317166,0.446590924713108,0.816367299684395
"812","bfg","TRUE","FALSE",0.00873148341844697,0.603788888036354,2.90382882047075,0.207928540339534,0.835284764190293,NA
"813","bfh","TRUE","FALSE",0.493789174517565,-1.66693358952384,1.78508235243616,-0.933813270434792,0.350400222940765,0.7170111323521
"814","bfi","TRUE","FALSE",0.11108830468249,1.40040761530097,2.90314616054291,0.482375856349956,0.629538969122032,NA
"815","bfj","TRUE","FALSE",0.0557889280704745,-0.0914736358233942,2.9035988691371,-0.0315035374877999,0.974867971039393,NA
"816","bfk","TRUE","FALSE",0.185698252283615,0.233675573551137,2.90322464646786,0.0804882852711492,0.935848913005566,NA
"817","bfl","TRUE","FALSE",6077.3086591789,2.52814421140559,0.365417462828882,6.9185095639216,4.5641998464449e-12,2.91601656856202e-10
"818","bfm","TRUE","FALSE",0.0142456545419605,0.382484984793156,2.90382152181496,0.131717800808258,0.895207505186759,NA
"819","bfn","TRUE","FALSE",3.50004345221008,5.06238449026874,2.13258880610928,2.37382118660963,0.0176050739762236,0.117708343445681
"820","bfo","TRUE","FALSE",16.0516130845248,1.24868501520536,2.8869799191038,0.43252293060389,0.665361389923424,0.911324374961925
"821","bfp","TRUE","FALSE",2426.44075390239,-1.10290948626205,0.851866783488154,-1.29469713767445,0.195424727758477,0.573312339087369
"822","bfq","TRUE","FALSE",11.9807940663575,-9.27039355973144,2.30211713026517,-4.02689916940222,5.65172541455224e-05,0.00118884434300658
"823","bfr","TRUE","FALSE",0,NA,NA,NA,NA,NA
"824","bfs","TRUE","FALSE",0,NA,NA,NA,NA,NA
"825","bft","TRUE","FALSE",0,NA,NA,NA,NA,NA
"826","bfu","TRUE","FALSE",0.105360907644285,0.725201366436172,2.90355667312202,0.249763117472202,0.80277054389871,NA
"827","bfv","TRUE","FALSE",0.00854086304291493,0.454777212712963,2.90383475649787,0.156612634963238,0.875550144171499,NA
"828","bfw","TRUE","FALSE",0.738447070380725,1.03431366068291,2.89798210682716,0.356908228745183,0.721160509200824,0.93260882650442
"829","bfx","TRUE","FALSE",0.0230191127249968,0.34597957789025,2.90381302819696,0.119146644267615,0.905159177128233,NA
"830","bfy","TRUE","FALSE",0.119897030313526,0.677998743525074,2.9031532196926,0.233538739507818,0.8153430912847,NA
"831","bfz","TRUE","FALSE",0.0584339344565914,0.085505277868247,2.90373054057586,0.0294466985394898,0.976508328887318,NA
"832","bga","TRUE","FALSE",180.210631882662,-0.621600134849381,0.247039147306265,-2.5162009407309,0.0118627527701396,0.0885854914653282
"833","bgb","TRUE","FALSE",0.0334919802939978,0.236460728092504,2.90378877637702,0.0814317935299446,0.935098565481488,NA
"834","bgc","TRUE","FALSE",7.42506650637683,0.639348806094555,2.02260619583764,0.31610147709934,0.75192548561985,0.939323565478882
"835","bgd","TRUE","FALSE",30.2759355881133,0.254211659226162,0.66515156107112,0.382186067212704,0.702323355611014,0.924159124857003
"836","bge","TRUE","FALSE",30.0886360601248,-0.126676290552908,0.656213105621882,-0.19304139077329,0.846926552542376,0.994186402037355
"837","bgf","TRUE","FALSE",9096.21093486539,0.0926444067726786,0.169967366047303,0.545071733046067,0.585704182889564,0.879970568918279
"838","bgg","TRUE","FALSE",476.484777873573,-0.349691662889455,0.283094400037027,-1.23524754584943,0.216738389019849,0.587851762671762
"839","bgh","TRUE","FALSE",0,0,0,0,1,NA
"840","bgi","TRUE","FALSE",0.143898730936351,0.829211320014508,2.903285436949,0.285611366165191,0.775175797004217,NA
"841","bgj","TRUE","FALSE",0.0209442598222315,0.34597957789025,2.90381302819696,0.119146644267615,0.905159177128233,NA
"842","bgk","TRUE","FALSE",0.089941891546348,0.309473725727733,2.90380474273253,0.106575253209523,0.915125951824722,NA
"843","bgl","TRUE","FALSE",0,NA,NA,NA,NA,NA
"844","bgm","TRUE","FALSE",0,NA,NA,NA,NA,NA
"845","bgn","TRUE","FALSE",0,NA,NA,NA,NA,NA
"846","bgo","TRUE","FALSE",0,NA,NA,NA,NA,NA
"847","bgp","TRUE","FALSE",0.0151974174739668,0.309473725727733,2.90380474273253,0.106575253209523,0.915125951824722,NA
"848","bgq","TRUE","FALSE",0,NA,NA,NA,NA,NA
"849","bgr","TRUE","FALSE",108.246017910894,0.275217881686909,0.271054000905571,1.01536181265514,0.309933389278955,0.671310611433618
"850","bgs","TRUE","FALSE",0,NA,NA,NA,NA,NA
"851","bgt","TRUE","FALSE",0,NA,NA,NA,NA,NA
"852","bgu","TRUE","FALSE",0,NA,NA,NA,NA,NA
"853","bgv","TRUE","FALSE",0.0135092787252087,0.603788888036354,2.90382882047075,0.207928540339534,0.835284764190293,NA
"854","bgw","TRUE","FALSE",0,NA,NA,NA,NA,NA
"855","bgx","TRUE","FALSE",812.799706936671,-0.500609488830165,0.194499926759862,-2.57382867525826,0.0100580064365522,0.082173134206979
"856","bgy","TRUE","FALSE",0.00624422561559075,0.454777212712963,2.90383475649787,0.156612634963238,0.875550144171499,NA
"857","bgz","TRUE","FALSE",17.884217272064,-0.6242866329852,0.522072427631245,-1.195785488649,0.231780280215661,0.600645588982016
"858","bha","TRUE","FALSE",9.36614903801323,-0.364525464575452,0.744328796322607,-0.489737151614189,0.624319908831957,0.904241681557621
"859","bhb","TRUE","FALSE",8.10934582341659,0.762558533975281,0.718419797766367,1.06143864123197,0.288490603953986,0.657757626712463
"860","bhc","TRUE","FALSE",0.682357123191919,1.52523521052133,2.13364786003642,0.714848611661392,0.474702593516091,0.829352997831578
"861","bhd","TRUE","FALSE",9.47463882947667,0.278990344890534,0.846370959179198,0.329631282671957,0.741678582374802,0.939323565478882
"862","bhe","TRUE","FALSE",0,0,0,0,1,NA
"863","bhf","TRUE","FALSE",0.0215220325069827,0.34597957789025,2.90381302819696,0.119146644267615,0.905159177128233,NA
"864","bhg","TRUE","FALSE",0.334205432395369,-0.982897679437288,2.46277766491707,-0.399101264169693,0.68981859082968,NA
"865","bhh","TRUE","FALSE",0.314201363436193,0.0996333497812209,2.90144414292967,0.0343392272513709,0.972606644479705,NA
"866","bhi","TRUE","FALSE",0.443193795916271,0.0496200705941897,1.554641688432,0.0319173678175555,0.974537948180268,0.997129227227132
"867","bhj","TRUE","FALSE",0.547423525768387,-0.224700340924512,0.844695665755363,-0.266013370298965,0.790228911898755,0.956592893351124
"868","bhk","TRUE","FALSE",0.0239648207846878,0.309473725727733,2.90380474273253,0.106575253209523,0.915125951824722,NA
"869","bhl","TRUE","FALSE",0.144690973521379,0.173755194397229,2.90297085569383,0.059854267588126,0.95227170372877,NA
"870","bhm","TRUE","FALSE",1.42342317922135,-0.1101129277399,0.857465523824403,-0.128416740592417,0.897819183764749,0.997129227227132
"871","bhn","TRUE","FALSE",0,0,0,0,1,NA
"872","bho","TRUE","FALSE",0.446340223619052,2.27975650121537,1.32147433660379,1.72516138835838,0.0844983919366148,0.34937502368275
"873","bhp","TRUE","FALSE",0.0512175549950755,0.642314895088084,2.90381938296147,0.221196572643928,0.824939377804053,NA
"874","bhq","TRUE","FALSE",1.02844068991969,-0.0899339155150057,1.36280318599926,-0.0659918588677665,0.947384307009409,0.997129227227132
"875","bhr","TRUE","FALSE",0.0619179159184448,0.880368755318085,2.90372686224223,0.303185801242432,0.761748269056349,NA
"876","bhs","TRUE","FALSE",0.447363474611076,-0.776467812593906,1.77285178888597,-0.437976720593109,0.661403158895571,0.911324374961925
"877","bht","TRUE","FALSE",14.2441102867236,-0.489531583263092,0.463842521340458,-1.05538315428348,0.291250124119311,0.657757626712463
"878","bhu","TRUE","FALSE",0,NA,NA,NA,NA,NA
"879","bhv","TRUE","FALSE",0.0998788287593378,0.504799291236698,2.90364480050178,0.173850221331984,0.861983174391736,NA
"880","bhw","TRUE","FALSE",567.583817633662,-0.154887824280313,0.374428615960075,-0.413664494854818,0.679119832901189,0.911324374961925
"881","bhx","TRUE","FALSE",0,0,0,0,1,NA
"882","bhy","TRUE","FALSE",0.0351414731158068,0.272967438984049,2.90379666042103,0.0940036341747399,0.925106269868374,NA
"883","bhz","TRUE","FALSE",0.130427934853317,0.439606735947097,2.66437315180786,0.164994432423556,0.868948364280564,NA
"884","bia","TRUE","FALSE",0.0582342589509028,0.593346405727762,2.90376477828982,0.204336938778221,0.838090205903042,NA
"885","bib","TRUE","FALSE",0.0418036260542736,-0.0308606312268606,2.90365494502042,-0.0106282019768859,0.991520081380581,NA
"886","bic","TRUE","FALSE",0,NA,NA,NA,NA,NA
"887","bid","TRUE","FALSE",0.900019108443044,-1.7934696673921,1.31256826095511,-1.36638201664808,0.171819090263316,0.529750787874714
"888","bie","TRUE","FALSE",0,NA,NA,NA,NA,NA
"889","bif","TRUE","FALSE",0,NA,NA,NA,NA,NA
"890","big","TRUE","FALSE",0.0109237814565647,0.454777212712963,2.90383475649787,0.156612634963238,0.875550144171499,NA
"891","bih","TRUE","FALSE",0,NA,NA,NA,NA,NA
"892","bii","TRUE","FALSE",61.2653421136651,-0.162210965565653,0.200167788266369,-0.810374970770995,0.417724698599219,0.81145845167078
"893","bij","TRUE","FALSE",430.749049591606,-0.215153688512327,0.121024399386979,-1.77777117343394,0.0754414447518076,0.328627505547647
"894","bik","TRUE","FALSE",0,0,0,0,1,NA
"895","bil","TRUE","FALSE",1.21912541648531,-2.16872694326927,1.56153599951102,-1.38884210415155,0.164880768888103,0.528835479325051
"896","bim","TRUE","FALSE",312.272513457068,-0.620475305302724,0.241355607759897,-2.57079299321679,0.0101465957020791,0.082173134206979
"897","bin","TRUE","FALSE",0.0819198011352477,0.124783812885377,2.90375365185594,0.0429732779864508,0.965722835247072,NA
"898","bio","TRUE","FALSE",0.0460382254499936,0.162742515936328,2.9037694252925,0.0560452612107571,0.955305750568402,NA
"899","bip","TRUE","FALSE",0.127400348574273,1.0560645478779,2.90357384336394,0.363711964926091,0.716073107719671,NA
"900","biq","TRUE","FALSE",0.00562874926758875,0.454777212712963,2.90383475649787,0.156612634963238,0.875550144171499,NA
"901","bir","TRUE","FALSE",0.0365204593601255,0.0833833285492536,2.9037292552346,0.0287159446422001,0.977091139626335,NA
"902","bis","TRUE","FALSE",14.0952133117667,-0.849281572638813,0.43899589985037,-1.93460023869992,0.0530393707218772,0.265196853609386
"903","bit","TRUE","FALSE",0.82866136709562,2.15344014328632,2.89848669472662,0.742953261508564,0.457509977820927,0.816367299684395
"904","biu","TRUE","FALSE",0.797152298278891,-1.73932653941666,1.74520706457023,-0.99663047137904,0.318943909689726,0.674238044380855
"905","biv","TRUE","FALSE",0.0392700337590195,0.880368753957791,2.903726862243,0.303185800773887,0.761748269413401,NA
"906","biw","TRUE","FALSE",0.0940526886012527,0.392882719659759,2.90358237540084,0.135309651618037,0.892367054371373,NA
"907","bix","TRUE","FALSE",0.0184152901799974,0.382484984793156,2.90382152181496,0.131717800808258,0.895207505186759,NA
