"","sample_name","plate","well","organism","flooded","path_conc","experiment","sample_type","is_ambiguous","cin_prop","cry_prop","plu_prop","expected_innoc_prop","unexpected_innoc_prop","expected_innoc","only_expected_innoc","valid_inoc","raw_count","richness","shannon","invsimpson"
"105","S43",1,"E06","Cry",FALSE,1,1,"Sample",FALSE,0,0.112206952303961,0,0.112206952303961,0,TRUE,TRUE,TRUE,54910,149,2.99404657127524,9.32261523529715
"106","S45",1,"G06","Cin",TRUE,100,1,"Sample",FALSE,0.801657423943353,0,0,0.801657423943353,0,TRUE,TRUE,TRUE,12661,62,1.53586589273701,2.12549208405927
"107","S46",1,"H06","Cin",TRUE,1,1,"Sample",FALSE,0.000207269047415843,0.025664784988844,0,0.000207269047415843,0.025664784988844,TRUE,FALSE,FALSE,79897,140,2.70810536159313,7.66538351151575
"108","S47",1,"A07","Plu",TRUE,100,1,"Sample",FALSE,0,0,0.00537453812562983,0.00537453812562983,0,TRUE,TRUE,TRUE,74025,84,1.1328584292418,1.64340117570347
"109","S48",1,"B07","Cin",TRUE,100,1,"Sample",FALSE,0.7775173370319,0.0379334257975035,0,0.7775173370319,0.0379334257975035,TRUE,FALSE,FALSE,13306,64,2.69427814586362,8.72676059614766
"110","S49",1,"C07","Cin",TRUE,1,1,"Sample",FALSE,0,0.540554902947922,0,0,0.540554902947922,FALSE,FALSE,FALSE,49281,117,2.8955464551217,8.79575085770376
"111","S5",1,"E01","Cin",FALSE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,59189,115,1.89796879810615,3.30078274214807
"112","S50",1,"D07","Control",TRUE,0,1,"Sample",FALSE,0.000180529311942616,0,0,NA,0.000180529311942616,FALSE,FALSE,FALSE,83074,98,1.73060791482407,3.16081585247551
"113","S51",1,"E07","Cry",FALSE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,62143,94,1.88324906573801,3.7042876164567
"114","S52",1,"F07","Plu",TRUE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,100948,88,2.30310148736475,6.32334552223155
"115","S53",1,"G07","Plu",FALSE,100,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,61823,151,2.8868606785499,10.4437027576378
"116","S54",1,"A08","Plu",FALSE,100,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,55780,106,2.07685416146893,3.80619876635601
"117","S55",1,"B08","Plu",FALSE,100,1,"Sample",FALSE,0,0,0.00211481693615896,0.00211481693615896,0,TRUE,TRUE,TRUE,67947,95,1.513724862294,1.97992843109041
"118","S56",1,"C08","Cry",TRUE,100,1,"Sample",FALSE,0,0.00844291793812176,0,0.00844291793812176,0,TRUE,TRUE,TRUE,72462,83,1.09239658134196,1.71588077292945
"119","S57",1,"D08","Cry",FALSE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,62568,88,1.73663255225928,2.6073478415438
"120","S58",1,"E08","Cin",FALSE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,65700,112,2.30069076527115,4.36762642348854
"121","S59",1,"F08","Cry",FALSE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,66024,117,1.85085460203135,3.11103274698017
"122","S6",1,"F01","Cry",TRUE,1,1,"Sample",FALSE,0.000232468035645099,0,0,0,0.000232468035645099,FALSE,FALSE,FALSE,64510,118,1.95468826305073,3.41501362137867
"123","S60",1,"G08","Cin",FALSE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,35562,74,2.32256362348291,4.56976289976153
"124","S61",1,"H08","Cin",FALSE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,19815,81,2.62512937670945,7.43481784892279
"125","S62",1,"A09","Cry",TRUE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,93912,99,1.38823181515376,1.92934422291789
"126","S63",1,"B09","Cin",TRUE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,95057,98,1.18310568523286,1.72378275376039
"127","S64",1,"C09","Control",FALSE,0,1,"Sample",FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE,62182,97,1.54527332667354,1.9646108439955
"128","S65",1,"D09","Plu",TRUE,100,1,"Sample",FALSE,0.000275330396475771,0.00533835046500245,0.00151431718061674,0.00151431718061674,0.00561368086147822,TRUE,FALSE,FALSE,64910,65,1.4790876411377,2.99975805904531
"129","S66",1,"E09","Cin",TRUE,1,1,"Sample",FALSE,0.0313416942735447,0.00173923331755797,0,0.0313416942735447,0.00173923331755797,TRUE,FALSE,FALSE,81724,113,1.85479462984414,3.19158334157096
"130","S68",1,"G09","Plu",FALSE,1,1,"Sample",FALSE,0,0,0,0,0,FALSE,FALSE,FALSE,68448,110,2.01775039108233,3.82274665445871
